company,company_website,industry,job_title,pub_date,job_url,source
USI Asteelflash Poland Sp. z o.o,,,Kierownik Działu Księgowości (Główny Księgowy),2025-09-19,"https://www.pracuj.pl/praca/kierownik-dzialu-ksiegowosci-glowny-ksiegowy-biskupice-podgorne-pow-wroclawski-innowacyjna-4,oferta,1004363160",pracuj.pl
Robano Sp. z o.o.,,,Główna księgowa/ Główny księgowy,2025-09-19,"https://www.pracuj.pl/praca/glowna-ksiegowa-glowny-ksiegowy-jozefow-pow-otwocki-nadwislanska-54c,oferta,1004363091",pracuj.pl
OLYMPUS BUSINESS SERVICES Sp. z.o.o,,,Chief Accountant - Senior Finance Manager,2025-09-19,"https://www.pracuj.pl/praca/chief-accountant-senior-finance-manager-wroclaw-marszalka-jozefa-pilsudskiego-69,oferta,1004310923",pracuj.pl
PIEKARNIE LUBASZKA sp. z o.o.,,,Główny Księgowy / Główna Księgowa,2025-09-19,"https://www.pracuj.pl/praca/glowny-ksiegowy-glowna-ksiegowa-warszawa-szlachecka-45,oferta,1004362811",pracuj.pl
BUCZYŃSKI TAX & LEGAL sp. z o.o.,,,Główny Księgowy - Menadżer Zespołu,2025-09-19,"https://www.pracuj.pl/praca/glowny-ksiegowy-menadzer-zespolu-wroclaw-swietego-mikolaja-8-11,oferta,1004317874",pracuj.pl
Randstad Polska Sp. z o.o.,,,Główny Księgowy / Główna Księgowa,2025-09-19,"https://www.pracuj.pl/praca/glowny-ksiegowy-glowna-ksiegowa-gdansk,oferta,1004362517",pracuj.pl
"PRZEDSIĘBIORSTWO PRODUKCYJNO-HANDLOWE WOBIT S.C. ELŻBIETA OBER, JACEK OBER",,,Główny księgowy / Główna księgowa,2025-09-19,"https://www.pracuj.pl/praca/glowny-ksiegowy-glowna-ksiegowa-deborzyce-pow-szamotulski-16,oferta,1004333442",pracuj.pl
HIGASKET PLASTICS GROUP (POLAND) sp. z o.o.,,,Główny księgowy / Główna księgowa,2025-09-19,"https://www.pracuj.pl/praca/glowny-ksiegowy-glowna-ksiegowa-kostrzyn,oferta,1004367477",pracuj.pl
ICS MOTO SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,,,Dyrektor finansowy - Główny księgowy,2025-09-21,"https://www.pracuj.pl/praca/dyrektor-finansowy-glowny-ksiegowy-gliwice,oferta,1004336593",pracuj.pl
Medyczne Centrum Innowacji Wrocław Sp. z o.o.,,,Główny Księgowy / Główna Księgowa,2025-09-21,"https://www.pracuj.pl/praca/glowny-ksiegowy-glowna-ksiegowa-wroclaw-krakowska-26,oferta,1004335956",pracuj.pl
